date,latitude,longitude,parameter,value,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2021-09-11,41.449722,-8.296389,no2,56.9,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,0.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,4.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,69.3,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,47.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,13.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,13.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,38.6,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,34.9,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,17.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,29.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,18.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,20.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,29.8,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,20.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,27.1,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,28.8,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,1.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,0.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,29.4,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,37.3,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,0.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
